"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Brasil, Município e Microrregião Geográfica";"Ano x Produto das lavouras temporárias e permanentes"
"Brasil, Município e Microrregião Geográfica";"2010";;;;;"2011";;;;;"2012";;;;;"2013";;;;;"2014";;;;;"2015";;;;;"2016";;;;;"2017";;;;;"2018";;;;;"2019";;;;;"2020"
"Brasil, Município e Microrregião Geográfica";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão"
"Augusto Severo (RN)";"1201";"-";"-";"-";"-";"1958";"-";"-";"-";"-";"1058";"-";"-";"-";"-";"923";"-";"-";"-";"-";"970";"-";"-";"-";"-";"1400";"-";"-";"-";"-";"420";"-";"-";"-";"-";"768";"-";"-";"4";"-";"340";"-";"-";"10";"-";"515";"-";"-";"15";"-";"865";"-";"-";"15";"-"
"Baía Formosa (RN)";"18501";"40";"16000";"-";"-";"18655";"40";"16000";"-";"-";"20497";"80";"18000";"-";"-";"20655";"80";"18000";"-";"-";"20500";"20";"18000";"-";"-";"20472";"10";"18000";"-";"-";"19329";"10";"18000";"-";"-";"19339";"10";"18000";"-";"-";"20410";"20";"19000";"-";"-";"20400";"10";"19000";"-";"-";"20400";"10";"19000";"-";"-"
"Baraúna (RN)";"7040";"-";"-";"580";"1200";"7880";"-";"-";"120";"1400";"8049";"-";"-";"2300";"2000";"10162";"-";"-";"2300";"2000";"7121";"-";"-";"1500";"685";"5304";"-";"-";"1300";"600";"4451";"-";"-";"1000";"500";"3694";"-";"-";"1200";"500";"7920";"-";"-";"5000";"500";"12020";"-";"-";"5000";"550";"12474";"-";"-";"5000";"600"
"Barcelona (RN)";"293";"-";"-";"-";"-";"494";"-";"-";"-";"-";"62";"-";"-";"-";"-";"519";"-";"-";"-";"-";"234";"-";"-";"-";"-";"426";"-";"-";"-";"-";"377";"-";"-";"-";"-";"172";"-";"-";"-";"-";"418";"-";"-";"-";"-";"619";"-";"-";"-";"-";"625";"-";"-";"-";"-"
"Bento Fernandes (RN)";"441";"50";"-";"-";"-";"1427";"1";"-";"-";"-";"177";"-";"-";"-";"-";"1185";"-";"-";"-";"-";"259";"-";"-";"-";"-";"337";"-";"-";"-";"-";"253";"-";"-";"-";"-";"253";"-";"-";"-";"-";"296";"-";"-";"-";"-";"327";"-";"-";"-";"-";"316";"-";"-";"-";"-"
"Bodó (RN)";"5023";"-";"-";"2";"-";"4709";"-";"-";"2";"30";"3849";"-";"-";"-";"-";"4248";"-";"-";"-";"-";"4662";"-";"-";"-";"-";"5542";"-";"-";"-";"-";"4506";"-";"-";"-";"-";"3464";"-";"-";"-";"-";"4322";"-";"-";"-";"-";"4522";"-";"-";"-";"-";"3603";"-";"-";"-";"-"
"Bom Jesus (RN)";"1368";"-";"-";"-";"-";"2681";"-";"-";"-";"-";"1973";"-";"-";"-";"-";"2377";"-";"-";"-";"-";"1927";"-";"-";"-";"-";"2275";"-";"-";"-";"-";"1475";"-";"-";"-";"-";"1105";"-";"-";"-";"-";"1554";"-";"-";"-";"-";"2105";"-";"-";"-";"-";"2211";"-";"-";"-";"-"
"Brejinho (RN)";"2998";"-";"2700";"-";"-";"3158";"-";"2700";"-";"-";"6480";"-";"6000";"-";"-";"6403";"-";"6000";"-";"-";"6418";"-";"6000";"-";"-";"535";"-";"-";"-";"-";"645";"-";"-";"-";"-";"635";"-";"-";"-";"-";"330";"-";"-";"-";"-";"375";"-";"-";"-";"-";"375";"-";"-";"-";"-"
"Caiçara do Norte (RN)";"2120";"-";"-";"10";"-";"2215";"-";"-";"5";"-";"2065";"-";"-";"5";"-";"2215";"-";"-";"5";"-";"2164";"-";"-";"5";"-";"2134";"-";"-";"5";"-";"2133";"-";"-";"5";"-";"2137";"-";"-";"-";"-";"2314";"-";"-";"-";"-";"2864";"-";"-";"-";"-";"2764";"-";"-";"-";"-"
"Caiçara do Rio do Vento (RN)";"75";"-";"-";"-";"-";"334";"-";"-";"-";"-";"40";"-";"-";"-";"-";"122";"-";"-";"2";"-";"270";"-";"-";"-";"-";"211";"-";"-";"-";"-";"270";"-";"-";"-";"-";"15";"-";"-";"-";"-";"225";"-";"-";"-";"-";"325";"-";"-";"-";"-";"345";"-";"-";"-";"-"
